Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
housing_development_01,POI,POIName,,x,Construcción de Residencias,,,,,,,,,,,,,
indian_burial_grounds_01,POI,POIName,,x,Cementerio Taza,,,,,,,,,,,,,
industrial_business_08,POI,POIName,,x,Mecanizados P&B,,,,,,,,,,,,,
installation_red_mesa,POI,POIName,,x,Complejo de la Mesa Roja,,,,,,,,,,,,,
junkyard_01,POI,POIName,,x,Centro de Reciclaje Ecotrash,,,,,,,,,,,,,
lodge_01,POI,POIName,,x,Fin del Viaje,,,,,,,,,,,,,
lot_country_01,POI,POIName,,x,Bus Mecánico Negro,,,,,,,,,,,,,
lot_country_02,POI,POIName,,x,Sombra del Árbol,,,,,,,,,,,,,
lot_downtown_filler_01,POI,POIName,,x,Obras en el Centro,,,,,,,,,,,,,
lot_industrial_01,POI,POIName,,x,Sistemas de Servicio Industrial,,,,,,,,,,,,,
lot_industrial_02,POI,POIName,,x,Camiones Industriales,,,,,,,,,,,,,
lot_industrial_03,POI,POIName,,x,Petróleo de Mala Calidad,,,,,,,,,,,,,
lot_industrial_04,POI,POIName,,x,Tanque Industrual #1,,,,,,,,,,,,,
lot_industrial_05,POI,POIName,,x,Tanque Industrial Averiado,,,,,,,,,,,,,
lot_industrial_06,POI,POIName,,x,Tanque Industrial Destruido,,,,,,,,,,,,,
lot_industrial_07,POI,POIName,,x,Tanque Industrual #2,,,,,,,,,,,,,
lot_industrial_08,POI,POIName,,x,Tanque Industrual con Fugas,,,,,,,,,,,,,
lot_industrial_09,POI,POIName,,x,Petrolera,,,,,,,,,,,,,
lot_industrial_10,POI,POIName,,x,Construcción Industrial,,,,,,,,,,,,,
lot_industrial_11,POI,POIName,,x,Estación de Distribución Eléctrica #1,,,,,,,,,,,,,
lot_industrial_12,POI,POIName,,x,Construcción Industrial,,,,,,,,,,,,,
lot_industrial_13,POI,POIName,,x,Demolición Industrial,,,,,,,,,,,,,
lot_industrial_14,POI,POIName,,x,Reservas del Condado,,,,,,,,,,,,,
lot_industrial_15,POI,POIName,,x,Estación de Distribución Eléctrica #2,,,,,,,,,,,,,
lot_industrial_16,POI,POIName,,x,Servicio de Energía Mo,,,,,,,,,,,,,
lot_industrial_17,POI,POIName,,x,Almacén de Construcciónes,,,,,,,,,,,,,
lot_industrial_18,POI,POIName,,x,Almacén de Alfombras,,,,,,,,,,,,,
lot_industrial_19,POI,POIName,,x,Almacén Abandonado,,,,,,,,,,,,,
lot_industrial_20,POI,POIName,,x,Depósito Abandonado,,,,,,,,,,,,,
lot_rural_filler_01,POI,POIName,,x,Colina de la Mochila,,,,,,,,,,,,,
lot_rural_filler_02,POI,POIName,,x,Bosque Sangriento,,,,,,,,,,,,,
lot_rural_filler_03,POI,POIName,,x,Campos de Heno,,,,,,,,,,,,,
lot_rural_filler_04,POI,POIName,,x,El Bosque Dormido,,,,,,,,,,,,,
lot_rural_filler_05,POI,POIName,,x,Maderas Perezosas,,,,,,,,,,,,,
lot_rural_filler_06,POI,POIName,,x,Cosechadora Incorrecta,,,,,,,,,,,,,
lot_rural_filler_07,POI,POIName,,x,Limpieza de Adoquines,,,,,,,,,,,,,
lot_rural_filler_08,POI,POIName,,x,Yunque Acres,,,,,,,,,,,,,
lot_rural_filler_09,POI,POIName,,x,Arboleda Suave,,,,,,,,,,,,,
lot_rural_filler_10,POI,POIName,,x,Lago Paul's Pay,,,,,,,,,,,,,
lot_rural_filler_11,POI,POIName,,x,Bosques Susurrantes,,,,,,,,,,,,,
lot_vacant_01,POI,POIName,,x,Lote de Contenedores,,,,,,,,,,,,,
lot_vacant_02,POI,POIName,,x,Parque 7 Horas,,,,,,,,,,,,,
lot_vacant_03,POI,POIName,,x,Campamento de Vagabundos,,,,,,,,,,,,,
lot_vacant_04,POI,POIName,,x,Cartelera Corona Wipes,,,,,,,,,,,,,
lot_vacant_05,POI,POIName,,x,Basurero de Oskar,,,,,,,,,,,,,
lot_vacant_06,POI,POIName,,x,Dawgs Sombríos,,,,,,,,,,,,,
lot_vacant_07,POI,POIName,,x,Tesoros de la Casa del Árbol,,,,,,,,,,,,,
lot_vacant_08,POI,POIName,,x,Cobertizo,,,,,,,,,,,,,
modern_church_01,POI,POIName,,x,Iglesia de Nuestro Señor,,,,,,,,,,,,,
motel_01,POI,POIName,,x,Motel Nick,,,,,,,,,,,,,
motel_02,POI,POIName,,x,Motel Siete,,,,,,,,,,,,,
motel_03,POI,POIName,,x,Motel Feliz Sueño,,,,,,,,,,,,,
motel_04,POI,POIName,,x,Motel Greg,,,,,,,,,,,,,
motel_05,POI,POIName,,x,Motel Ocho,,,,,,,,,,,,,
nursing_home_01,POI,POIName,,x,Hogar de Ancianos,,,,,,,,,,,,,
office_01,POI,POIName,,x,Eco Común,,,,,,,,,,,,,
office_02,POI,POIName,,x,Ascenso Inmoviliario,,,,,,,,,,,,,
office_03,POI,POIName,,x,Oficinas Históricas,,,,,,,,,,,,,
office_04,POI,POIName,,x,Mercadotecnia,,,,,,,,,,,,,
office_05,POI,POIName,,x,Grupo Tri-Med,,,,,,,,,,,,,
office_06,POI,POIName,,x,Oficinas Abandonadas,,,,,,,,,,,,,
oldwest_business_01,POI,POIName,,x,Biskitz,,,,,,,,,,,,,
oldwest_business_02,POI,POIName,,x,Empresa de Soldadura BJ,,,,,,,,,,,,,
oldwest_business_03,POI,POIName,,x,Cerdos Finos,,,,,,,,,,,,,
oldwest_business_04,POI,POIName,,x,Baño Público,,,,,,,,,,,,,
oldwest_business_05,POI,POIName,,x,Magnates del Petróleo,,,,,,,,,,,,,
oldwest_business_06,POI,POIName,,x,Semillas Spitz,,,,,,,,,,,,,
oldwest_business_07,POI,POIName,,x,Cosas de Eric,,,,,,,,,,,,,
oldwest_business_08,POI,POIName,,x,Quitadores de bragas,,,,,,,,,,,,,
oldwest_business_09,POI,POIName,,x,Botilleria Earl's,,,,,,,,,,,,,
oldwest_business_10,POI,POIName,,x,Mártires del Fusil,,,,,,,,,,,,,
oldwest_business_11,POI,POIName,,x,Tienda Skamson,,,,,,,,,,,,,
oldwest_business_12,POI,POIName,,x,Libros de Cole,,,,,,,,,,,,,
oldwest_business_13,POI,POIName,,x,Suero Swiggin,,,,,,,,,,,,,
oldwest_business_14,POI,POIName,,x,Ferretería Lathan,,,,,,,,,,,,,
oldwest_church,POI,POIName,,x,Primera Iglesia de Dios,,,,,,,,,,,,,
oldwest_coal_factory,POI,POIName,,x,Minería de Carbón Bear-N-Land,,,,,,,,,,,,,
oldwest_gallows,POI,POIName,,x,Horcas,,,,,,,,,,,,,
oldwest_jail,POI,POIName,,x,Sheriff del Viejo Oeste,,,,,,,,,,,,,
oldwest_stables,POI,POIName,,x,El Flojo H,,,,,,,,,,,,,
oldwest_strip_01,POI,POIName,,x,General Duke,,,,,,,,,,,,,
oldwest_strip_02,POI,POIName,,x,Hotel Mornin Lumber,,,,,,,,,,,,,
oldwest_strip_03,POI,POIName,,x,Cervecería Bert's,,,,,,,,,,,,,
oldwest_strip_04,POI,POIName,,x,Metalurgia,,,,,,,,,,,,,
oldwest_watertower,POI,POIName,,x,Torre de Agua del Viejo Oeste,,,,,,,,,,,,,
park_01,POI,POIName,,x,Parque Arbor,,,,,,,,,,,,,
park_02,POI,POIName,,x,Parque Fountain,,,,,,,,,,,,,
park_03,POI,POIName,,x,Parque Lone Pine,,,,,,,,,,,,,
park_basketball,POI,POIName,,x,Cancha de Baloncesto,,,,,,,,,,,,,
park_plaza_01,POI,POIName,,x,Plaza de la Cascada,,,,,,,,,,,,,
park_plaza_02,POI,POIName,,x,Plaza de la Salida,,,,,,,,,,,,,
parking_garage_01,POI,POIName,,x,Estacionamiento #1,,,,,,,,,,,,,
parking_garage_02,POI,POIName,,x,Estacionamiento #2,,,,,,,,,,,,,
parking_garage_03,POI,POIName,,x,Estacionamiento My Spot,,,,,,,,,,,,,
parking_garage_04,POI,POIName,,x,Estacionamiento Grande My Spot,,,,,,,,,,,,,
parking_lot_01,POI,POIName,,x,Estacionamiento Park-n-Pay,,,,,,,,,,,,,
parking_lot_02,POI,POIName,,x,Estacionamiento del Hospital,,,,,,,,,,,,,
parking_lot_03,POI,POIName,,x,Lote de Estacionamientos,,,,,,,,,,,,,
perishton_city_blk_01,POI,POIName,,x,Ciudad Perishton,,,,,,,,,,,,,
perishton_city_blk_02,POI,POIName,,x,Ciudad Perishton,,,,,,,,,,,,,
perishton_city_blk_03,POI,POIName,,x,Ciudad Perishton,,,,,,,,,,,,,
perishton_city_blk_04,POI,POIName,,x,Ciudad Perishton,,,,,,,,,,,,,
perishton_city_blk_05,POI,POIName,,x,Ciudad Perishton,,,,,,,,,,,,,
perishton_city_blk_06,POI,POIName,,x,Ciudad Perishton,,,,,,,,,,,,,
perishton_city_blk_plaza,POI,POIName,,x,Ciudad Perishton,,,,,,,,,,,,,
perishton_city_sign_01,POI,POIName,,x,Ciudad Perishton,,,,,,,,,,,,,
perishton_median_01,POI,POIName,,x,Ciudad Perishton,,,,,,,,,,,,,
perishton_median_02,POI,POIName,,x,Ciudad Perishton,,,,,,,,,,,,,
perishton_median_03,POI,POIName,,x,Ciudad Perishton,,,,,,,,,,,,,
perishton_outlet,POI,POIName,,x,Ciudad Perishton,,,,,,,,,,,,,
perishton_tunnel_01,POI,POIName,,x,Túnel Sur Perishton,,,,,,,,,,,,,
perishton_tunnel_02,POI,POIName,,x,Túnel Norte Perishton,,,,,,,,,,,,,
perishton_tunnel_north,POI,POIName,,x,Ciudad Perishton,,,,,,,,,,,,,
perishton_waterworks,POI,POIName,,x,Ciudad Perishton,,,,,,,,,,,,,
police_station_03,POI,POIName,,x,NPD 3ª División,,,,,,,,,,,,,
post_office_01,POI,POIName,,x,Oficina de Correos,,,,,,,,,,,,,
post_office_02,POI,POIName,,x,Oficina de Correos #2,,,,,,,,,,,,,
prison_01,POI,POIName,,x,Correccional de Navezgane,,,,,,,,,,,,,
prison_02,POI,POIName,,x,Cárcel Navezgane,,,,,,,,,,,,,
radio_station_01,POI,POIName,,x,Emisora de radio KZL,,,,,,,,,,,,,
radio_station_02,POI,POIName,,x,Emisora de radio ZMB,,,,,,,,,,,,,
radio_station_03,POI,POIName,,x,Emisora de radio KZZ,,,,,,,,,,,,,
ranger_station_01,POI,POIName,,x,Estación de Guardabosques Alfa,,,,,,,,,,,,,
ranger_station_02,POI,POIName,,x,Estación de Guardabosques Beta,,,,,,,,,,,,,
ranger_station_03,POI,POIName,,x,Estación de Guardabosques Charlie,,,,,,,,,,,,,
ranger_station_04,POI,POIName,,x,Estación de Guardabosques Delta,,,,,,,,,,,,,
ranger_station_05,POI,POIName,,x,Estación de Guardabosques Foxtrot,,,,,,,,,,,,,
ranger_station_06,POI,POIName,,x,Estación de Guardabosques Echo,,,,,,,,,,,,,
ranger_station_07,POI,POIName,,x,Estación de Guardabosques Golf,,,,,,,,,,,,,
remnant_burnt_01,POI,POIName,,x,Crujiente,,,,,,,,,,,,,
remnant_burnt_02,POI,POIName,,x,El Cocinero,,,,,,,,,,,,,
remnant_burnt_03,POI,POIName,,x,Kindle,,,,,,,,,,,,,
remnant_burnt_04,POI,POIName,,x,Cafetería Burnt,,,,,,,,,,,,,
remnant_burnt_05,POI,POIName,,x,Emisora de radio Jon's,,,,,,,,,,,,,
remnant_burnt_06,POI,POIName,,x,Compañía de Revestimientos,,,,,,,,,,,,,
remnant_burnt_07,POI,POIName,,x,Cocina Krispy,,,,,,,,,,,,,
remnant_burnt_08,POI,POIName,,x,Mini Mercado,,,,,,,,,,,,,
remnant_burnt_09,POI,POIName,,x,El Negro,,,,,,,,,,,,,
remnant_burnt_10,POI,POIName,,x,El Bronceado,,,,,,,,,,,,,
remnant_business_01,POI,POIName,,x,Procesadora Shamway,,,,,,,,,,,,,
remnant_business_02,POI,POIName,,x,Emergencias Pop-N-Pills,,,,,,,,,,,,,
remnant_business_03,POI,POIName,,x,Almacén Crack-a-Book,,,,,,,,,,,,,
remnant_business_04,POI,POIName,,x,Almacén Working Stiff,,,,,,,,,,,,,
remnant_business_05,POI,POIName,,x,Shotgun Messiah Saqueado,,,,,,,,,,,,,
remnant_business_06,POI,POIName,,x,Licores Kruz-Thru,,,,,,,,,,,,,
remnant_carwash_01,POI,POIName,,x,Autolavado,,,,,,,,,,,,,
remnant_church_01,POI,POIName,,x,Catedral de los Caídos,,,,,,,,,,,,,
remnant_coffee_shop_01,POI,POIName,,x,Cafetería Drive-Up,,,,,,,,,,,,,
remnant_coffee_shop_02,POI,POIName,,x,Taza Rápida,,,,,,,,,,,,,
remnant_coffee_shop_03,POI,POIName,,x,Cafetería Shed,,,,,,,,,,,,,
remnant_downtown_filler_01,POI,POIName,,x,Toma del Ejército,,,,,,,,,,,,,
remnant_downtown_filler_02,POI,POIName,,x,Arkco Rusco,,,,,,,,,,,,,
remnant_downtown_filler_04,POI,POIName,,x,Parque Empresarial Ivant,,,,,,,,,,,,,
remnant_downtown_filler_05,POI,POIName,,x,Apartamentos Cuatro Robles,,,,,,,,,,,,,
remnant_downtown_filler_06,POI,POIName,,x,Almacén de Shabby St.,,,,,,,,,,,,,
remnant_downtown_filler_07,POI,POIName,,x,Deli Abandonado,,,,,,,,,,,,,
remnant_downtown_filler_08,POI,POIName,,x,Vista de las Oficinas,,,,,,,,,,,,,
remnant_downtown_filler_09,POI,POIName,,x,Racy's,,,,,,,,,,,,,
remnant_downtown_filler_11,POI,POIName,,x,Bar Moda,,,,,,,,,,,,,
remnant_downtown_filler_12,POI,POIName,,x,Farmacia Destruida,,,,,,,,,,,,,
remnant_downtown_filler_14,POI,POIName,,x,Tienda de Electrínicos Mo Saqueada,,,,,,,,,,,,,
remnant_downtown_filler_15,POI,POIName,,x,Hotel Downtown,,,,,,,,,,,,,
remnant_downtown_filler_16,POI,POIName,,x,Torre de Oficinas en Ruinas,,,,,,,,,,,,,
remnant_downtown_filler_17,POI,POIName,,x,Oficina del Gobernador,,,,,,,,,,,,,
remnant_downtown_filler_18,POI,POIName,,x,Propiedad Condenada,,,,,,,,,,,,,
remnant_downtown_filler_19,POI,POIName,,x,Rincón del Crítico,,,,,,,,,,,,,
remnant_downtown_filler_20,POI,POIName,,x,Restaurante LUX,,,,,,,,,,,,,
remnant_downtown_filler_21,POI,POIName,,x,Parrilla de Pete,,,,,,,,,,,,,
remnant_downtown_filler_22,POI,POIName,,x,Estación Ship-n-sip,,,,,,,,,,,,,
remnant_downtown_filler_23,POI,POIName,,x,Bóveda del Alcohol,,,,,,,,,,,,,
remnant_downtown_strip_01,POI,POIName,,x,Tienda Deportiva AZ ,,,,,,,,,,,,,
remnant_downtown_strip_02,POI,POIName,,x,Restaurante Ruta 66,,,,,,,,,,,,,
remnant_downtown_strip_03,POI,POIName,,x,Rincón de Willtronics,,,,,,,,,,,,,
remnant_downtown_strip_04,POI,POIName,,x,Edificio Búfalo Azul,,,,,,,,,,,,,
remnant_downtown_strip_05,POI,POIName,,x,Fila ZBrews,,,,,,,,,,,,,
remnant_downtown_strip_06,POI,POIName,,x,Plaza Zafiro,,,,,,,,,,,,,
remnant_downtown_strip_07,POI,POIName,,x,Bulevar de Bruno,,,,,,,,,,,,,
remnant_downtown_strip_08,POI,POIName,,x,Tiendas de Estilo Urbano,,,,,,,,,,,,,
remnant_downtown_strip_09,POI,POIName,,x,Distrito Rhythm & Brews,,,,,,,,,,,,,
remnant_downtown_strip_11,POI,POIName,,x,Apartamentos Roca Caída,,,,,,,,,,,,,
remnant_downtown_strip_12,POI,POIName,,x,Pabellón Patriota,,,,,,,,,,,,,
remnant_downtown_strip_13,POI,POIName,,x,Estación de División de Circuitos,,,,,,,,,,,,,
remnant_downtown_strip_14,POI,POIName,,x,Centro Comercial Massive Gains,,,,,,,,,,,,,
remnant_downtown_strip_15,POI,POIName,,x,Plaza Bloomington,,,,,,,,,,,,,
remnant_downtown_strip_16,POI,POIName,,x,Centro de Viajes Carlos,,,,,,,,,,,,,
remnant_downtown_strip_17,POI,POIName,,x,Plaza Perk Penny,,,,,,,,,,,,,
remnant_downtown_strip_18,POI,POIName,,x,Terminal de Buses Navezgane,,,,,,,,,,,,,
remnant_downtown_strip_19,POI,POIName,,x,Hotel Trébol Azul,,,,,,,,,,,,,
remnant_downtown_strip_20,POI,POIName,,x,Recinto de los Supervivientes Caídos,,,,,,,,,,,,,
remnant_gas_station_01,POI,POIName,,x,Pass-N-Gas Destruido,,,,,,,,,,,,,
remnant_hospital_01,POI,POIName,,x, Hospital Midway,,,,,,,,,,,,,
remnant_house_01,POI,POIName,,x,Residencia Pokket,,,,,,,,,,,,,
remnant_house_02,POI,POIName,,x,Residencia Rodriguez,,,,,,,,,,,,,
remnant_house_03,POI,POIName,,x,Residencia Chikorina,,,,,,,,,,,,,
remnant_house_04,POI,POIName,,x,Residencia Splinter,,,,,,,,,,,,,
remnant_house_05,POI,POIName,,x,Residencia Aves Manor,,,,,,,,,,,,,
remnant_house_06,POI,POIName,,x,Residencia Lemon,,,,,,,,,,,,,
remnant_house_07,POI,POIName,,x,Residencia White,,,,,,,,,,,,,
remnant_house_08,POI,POIName,,x,Residencia Berry,,,,,,,,,,,,,
remnant_house_09,POI,POIName,,x,Residencia Wax Manor,,,,,,,,,,,,,
remnant_house_10,POI,POIName,,x,Residencia Collins,,,,,,,,,,,,,
remnant_house_11,POI,POIName,,x,Residencia Olive,,,,,,,,,,,,,
remnant_house_12,POI,POIName,,x,Residencia Azure,,,,,,,,,,,,,
remnant_house_13,POI,POIName,,x,Residencia Lincoln,,,,,,,,,,,,,
remnant_house_14,POI,POIName,,x,Residencia Alabaster,,,,,,,,,,,,,
remnant_house_15,POI,POIName,,x,Residencia Washington,,,,,,,,,,,,,
remnant_house_16,POI,POIName,,x,Residencia Sky,,,,,,,,,,,,,
remnant_house_17,POI,POIName,,x,Residencia Johnson,,,,,,,,,,,,,
remnant_house_18,POI,POIName,,x,Residencia Smoky Loft,,,,,,,,,,,,,
remnant_house_19,POI,POIName,,x,Residencia Hangman's Retreat ,,,,,,,,,,,,,
remnant_house_20,POI,POIName,,x,Residencia Philip Powers,,,,,,,,,,,,,
remnant_library_01,POI,POIName,,x,Biblioteca Pública Navezgane,,,,,,,,,,,,,
remnant_library_02,POI,POIName,,x,Refugio de los Nerds,,,,,,,,,,,,,
remnant_lot_industrial_01,POI,POIName,,x,Depósito de Dirt Jump,,,,,,,,,,,,,
remnant_mill_01,POI,POIName,,x,Grano Buddies,,,,,,,,,,,,,
remnant_oldwest_01,POI,POIName,,x,El Vagón Olvidado,,,,,,,,,,,,,
remnant_oldwest_02,POI,POIName,,x,El Desglose,,,,,,,,,,,,,
remnant_oldwest_03,POI,POIName,,x,La Redada,,,,,,,,,,,,,
remnant_oldwest_04,POI,POIName,,x,El Fronterizo,,,,,,,,,,,,,
remnant_oldwest_05,POI,POIName,,x,La Chispa Fugitiva,,,,,,,,,,,,,
remnant_oldwest_06,POI,POIName,,x,El Jacuzzi,,,,,,,,,,,,,
remnant_oldwest_07,POI,POIName,,x,Hotel Matchstick,,,,,,,,,,,,,
remnant_oldwest_08,POI,POIName,,x,El Baúl del Desorden,,,,,,,,,,,,,
remnant_oldwest_09,POI,POIName,,x,Granero en Ruinas,,,,,,,,,,,,,
remnant_quicklube_01,POI,POIName,,x,Lubricación rápida,,,,,,,,,,,,,
remnant_school_01,POI,POIName,,x,Escuela Pública de Montgomery,,,,,,,,,,,,,
remnant_selfstorage_01,POI,POIName,,x,Estacionamiento A1,,,,,,,,,,,,,
remnant_selfstorage_02,POI,POIName,,x,Almacenamiento Superior,,,,,,,,,,,,,
remnant_skyscraper_01,POI,POIName,,x,Torre de Oficinas Abandonada,,,,,,,,,,,,,
remnant_skyscraper_02,POI,POIName,,x,Torre Zillion,,,,,,,,,,,,,
remnant_skyscraper_03,POI,POIName,,x,Obras en Demolición,,,,,,,,,,,,,
remnant_skyscraper_04,POI,POIName,,x,Centro Meridian,,,,,,,,,,,,,
remnant_skyscraper_05,POI,POIName,,x,Banco HNN,,,,,,,,,,,,,
remnant_waste_01,POI,POIName,,x,Heladeria BRR,,,,,,,,,,,,,
remnant_waste_02,POI,POIName,,x,Fundiciones,,,,,,,,,,,,,
remnant_waste_03,POI,POIName,,x,Apartamentos Gray View,,,,,,,,,,,,,
remnant_waste_04,POI,POIName,,x,Cafetería Zip,,,,,,,,,,,,,
remnant_waste_05,POI,POIName,,x,Fábrica de Componentes Eléctricos Mo,,,,,,,,,,,,,
remnant_waste_06,POI,POIName,,x,Compañía Eye Candy,,,,,,,,,,,,,
remnant_waste_08,POI,POIName,,x,Fábrica de Cajas,,,,,,,,,,,,,
remnant_waste_15,POI,POIName,,x,Envíos JD,,,,,,,,,,,,,
remnant_waste_16,POI,POIName,,x,Energía Mo Destruida,,,,,,,,,,,,,
remnant_waste_17,POI,POIName,,x,Control de Plagas Nav,,,,,,,,,,,,,
remnant_waste_18,POI,POIName,,x,Sanidad Pristine,,,,,,,,,,,,,
remnant_waste_19,POI,POIName,,x,Oficinas Desaprovechadas,,,,,,,,,,,,,
rest_area_01,POI,POIName,,x,Área de Descanso Canis Lupus,,,,,,,,,,,,,
rest_area_02,POI,POIName,,x,Área de Descanso Arbor Loop,,,,,,,,,,,,,
rest_area_03,POI,POIName,,x,Área de Descanso Crotalus,,,,,,,,,,,,,
rest_area_04,POI,POIName,,x,Parada de Descanso Buy-N-Go,,,,,,,,,,,,,
rest_area_05,POI,POIName,,x,Parada de Camiones,,,,,,,,,,,,,
restaurant_01,POI,POIName,,x,Restaurante Zelekt,,,,,,,,,,,,,
restaurant_02,POI,POIName,,x,Buffet Barril Sin Fondo,,,,,,,,,,,,,
roadside_checkpoint_01,POI,POIName,,x,NDC Punto de Control Uno,,,,,,,,,,,,,
roadside_checkpoint_02,POI,POIName,,x,NDC Punto de Control Dos,,,,,,,,,,,,,
roadside_checkpoint_03,POI,POIName,,x,NDC Punto de Control Tres,,,,,,,,,,,,,
roadside_checkpoint_04,POI,POIName,,x,NDC Punto de Control Cuatro,,,,,,,,,,,,,
roadside_checkpoint_05,POI,POIName,,x,NDC Punto de Control Cinco,,,,,,,,,,,,,
roadside_park_01,POI,POIName,,x,Área de Descanso 7,,,,,,,,,,,,,
roadside_park_02,POI,POIName,,x,Área de Descanso Shady,,,,,,,,,,,,,
roadside_restaurant_01,POI,POIName,,x,Restaurante Wagon,,,,,,,,,,,,,
roadside_strip_01,POI,POIName,,x,Salón Junkville,,,,,,,,,,,,,
roadside_truckstop_01,POI,POIName,,x,Plaza Pass-N-Gas,,,,,,,,,,,,,
rubble_downtown_filler_01,POI,POIName,,x,Fé de Leap's,,,,,,,,,,,,,
rubble_downtown_filler_02,POI,POIName,,x,Vista del Rey,,,,,,,,,,,,,
rubble_downtown_filler_03,POI,POIName,,x,Apartamentos Fallen Brick,,,,,,,,,,,,,
rubble_downtown_filler_04,POI,POIName,,x,Apartamentos Hobo Heights,,,,,,,,,,,,,
rubble_downtown_filler_05,POI,POIName,,x,Compañía Química Oops,,,,,,,,,,,,,
rural_church_01,POI,POIName,,x,Iglesia Colina Blanca,,,,,,,,,,,,,
rural_drive_in_01,POI,POIName,,x,Autocine Coleman's,,,,,,,,,,,,,
rural_outdoor_wedding_01,POI,POIName,,x,Lago de la Campana,,,,,,,,,,,,,
rwg_tile_cap,POI,POIName,,x,Tapas,,,,,,,,,,,,,
rwg_tile_commercial_cap,POI,POIName,,x,Distrito Comercial,,,,,,,,,,,,,
rwg_tile_commercial_corner,POI,POIName,,x,Distrito Comercial,,,,,,,,,,,,,
rwg_tile_commercial_intersection,POI,POIName,,x,Distrito Comercial,,,,,,,,,,,,,
rwg_tile_commercial_straight,POI,POIName,,x,Distrito Comercial,,,,,,,,,,,,,
rwg_tile_commercial_t,POI,POIName,,x,Distrito Comercial,,,,,,,,,,,,,
rwg_tile_corner,POI,POIName,,x,Esquina,,,,,,,,,,,,,
rwg_tile_countryresidential_cap,POI,POIName,,x,Residencial Campestre,,,,,,,,,,,,,
rwg_tile_countryresidential_corner,POI,POIName,,x,Residencial Campestre,,,,,,,,,,,,,
rwg_tile_countryresidential_intersection,POI,POIName,,x,Residencial Campestre,,,,,,,,,,,,,
rwg_tile_countryresidential_straight,POI,POIName,,x,Residencial Campestre,,,,,,,,,,,,,
rwg_tile_countryresidential_t,POI,POIName,,x,Residencial Campestre,,,,,,,,,,,,,
rwg_tile_countrytown_cap,POI,POIName,,x,Ciudad Campestre,,,,,,,,,,,,,
rwg_tile_countrytown_corner,POI,POIName,,x,Ciudad Campestre,,,,,,,,,,,,,
rwg_tile_countrytown_intersection,POI,POIName,,x,Ciudad Campestre,,,,,,,,,,,,,
rwg_tile_countrytown_straight,POI,POIName,,x,Ciudad Campestre,,,,,,,,,,,,,
rwg_tile_countrytown_t,POI,POIName,,x,Ciudad Campestre,,,,,,,,,,,,,
rwg_tile_downtown_cap,POI,POIName,,x,Centro,,,,,,,,,,,,,
rwg_tile_downtown_corner,POI,POIName,,x,Centro,,,,,,,,,,,,,
rwg_tile_downtown_intersection,POI,POIName,,x,Centro,,,,,,,,,,,,,
rwg_tile_downtown_intersection_02,POI,POIName,,x,Centro,,,,,,,,,,,,,
rwg_tile_downtown_straight,POI,POIName,,x,Centro,,,,,,,,,,,,,
rwg_tile_downtown_t,POI,POIName,,x,Centro,,,,,,,,,,,,,
rwg_tile_gateway_cap,POI,POIName,,x,Pasarela,,,,,,,,,,,,,
rwg_tile_highway_corner,POI,POIName,,x,Autopista,,,,,,,,,,,,,
rwg_tile_highway_corner_100m,POI,POIName,,x,Autopista,,,,,,,,,,,,,
rwg_tile_highway_corner_50m,POI,POIName,,x,Autopista,,,,,,,,,,,,,
rwg_tile_highway_intersection_50m,POI,POIName,,x,Autopista,,,,,,,,,,,,,
rwg_tile_highway_straight,POI,POIName,,x,Autopista,,,,,,,,,,,,,
rwg_tile_highway_straight_50m,POI,POIName,,x,Autopista,,,,,,,,,,,,,
rwg_tile_highway_t_50m,POI,POIName,,x,Autopista,,,,,,,,,,,,,
rwg_tile_highway_tdirt_50m,POI,POIName,,x,Autopista,,,,,,,,,,,,,
rwg_tile_industrial_cap,POI,POIName,,x,Distrito Industrial,,,,,,,,,,,,,
rwg_tile_industrial_corner,POI,POIName,,x,Distrito Industrial,,,,,,,,,,,,,
rwg_tile_industrial_intersection,POI,POIName,,x,Distrito Industrial,,,,,,,,,,,,,
rwg_tile_industrial_straight,POI,POIName,,x,Distrito Industrial,,,,,,,,,,,,,
rwg_tile_industrial_t,POI,POIName,,x,Distrito Industrial,,,,,,,,,,,,,
rwg_tile_intersection,POI,POIName,,x,Intersección,,,,,,,,,,,,,
rwg_tile_oldwest_cap,POI,POIName,,x,Viejo Oeste,,,,,,,,,,,,,
rwg_tile_oldwest_corner,POI,POIName,,x,Viejo Oeste,,,,,,,,,,,,,
rwg_tile_oldwest_intersection,POI,POIName,,x,Viejo Oeste,,,,,,,,,,,,,
rwg_tile_oldwest_straight,POI,POIName,,x,Viejo Oeste,,,,,,,,,,,,,
rwg_tile_oldwest_t,POI,POIName,,x,Viejo Oeste,,,,,,,,,,,,,
rwg_tile_residential_cap,POI,POIName,,x,Residencial,,,,,,,,,,,,,
rwg_tile_residential_corner,POI,POIName,,x,Residencial,,,,,,,,,,,,,
rwg_tile_residential_intersection,POI,POIName,,x,Residencial,,,,,,,,,,,,,
rwg_tile_residential_straight,POI,POIName,,x,Residencial,,,,,,,,,,,,,
rwg_tile_residential_t,POI,POIName,,x,Residencial,,,,,,,,,,,,,
rwg_tile_roadside_straight,POI,POIName,,x,Carretera,,,,,,,,,,,,,
